Title,Link,Rating,Reviews,Lesson Count,Price,Image URL,Description,Curriculum
Framework to Choose the Right LLM for your Business,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,5,(1),6 Lessons,Free,https://import.cdn.thinkific.com/118220/A3lVcQcRRbKN9IBZANvV_cinematic-person-is-looking-customer-journey-map%201.jpg,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.",Introduction: Introduction | It's an LLM World!: It's an LLM World! | Understand Your Business: Understand Your Business | Framework to Choose the Right LLM: Framework to Choose the Right LLM | Case Studies: Case Studies | Conclusion: Conclusion
Improving Real World RAG Systems: Key Challenges & Practical Solutions,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,5,(4),12 Lessons,Free,https://import.cdn.thinkific.com/118220/70WfAJhFRsyXXdLQcWIl_281762.jpg,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","Improving Real World RAG System: Introduction to RAG Systems, Resources, RAG System Challenges Practical Solutions, Hands-on: Solution for Missing Content in RAG, Other Key Challenges, Practical Solutions, Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect SpecificityHands-on- Solution for Missed, Wrong Format Problem  Solution, Hands-on: Solution for Wrong Format, Incomplete Problem Solution, HyDE, Other Practical Solutions from recent Research Papers"
Building Smarter LLMs with Mamba and State Space Model,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,0,N/A,14 Lessons,Free,https://import.cdn.thinkific.com/118220/FbdKUqgKSj2K80QgVl1z_THUMBNAIL%20(1).png,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","Course Overview: Course Overview | An Alternative to Transformers: Are RNNs a Solution, The Problem with Transformers | Understanding State Space Models: What is a State Space Model?, The Discrete Representation, The Recurrent Representation, The Convolution Representation, The Three Representations, The Importance of the A Matrix | Mamba - A Selective State Space Model: What Problem does it attempt to Solve?, Selectively Retaining Information, Speeding Up Computations, Exploring the Mamba Block, Jamba - Mixing Mamba with Transformers"
Generative AI - A Way of Life - Free Course,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,5,(10),31 Lessons,Free,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.","Introduction to Generative AI: Fundamentals of Generative AI, What is Generative AI?, How does Generative AI work?, Exploring the Potential of Generative AI, GenAI Pinnacle Program, Hands On: Let’s get generating! | Text Generation Using Generative AI: An Overview of Text Generation, What is ChatGPT?, Working with ChatGPT, Working with ChatGPT Plus, Build a Custom GPT, Working with Microsoft Copilot, Working with Google Gemini, Gen AI Pinnacle Ad, Learning the Art of Prompting, Creating a Chatbot, Ethics and Best Practices | Image Generation Using Generative AI: Introduction to Image Generation, Exploring the Potential of Image Generation, Working with free image generation tools, Working with Clipdrop, Working with Bing Image Creator, Working with Firefly, Working with Paid Image Generative Tools, Working with paid image generative tools DreamStudio, Working with DALLE-2, Working with Midjourney, Gen AI Pinnacle Ad, Prompting your Way to Art, Accomplishing Tasks with Image Generation, E for Ethics and Efficiency"
Getting Started with Large Language Models,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,5,(22),18 Lessons,Free,https://import.cdn.thinkific.com/118220/TwSmk34ARlGMcQu4M8Co_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_265db306-1f93-496d-827e-0f1e534c9cf1.png,"This course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text.","Introduction: Course Objective, Course Handouts, The Exponential Growth | The Evolution of NLP: The Evolution of NLP: Symbolic NLP, The Evolution of NLP: Statistical NLP, The Evolution of NLP: Deep Learning, The Evolution of NLP: Deep Learning Era II, The Evolution of NLP: Tranformers and Evolution, Quiz | What are Large Language Models?: Introduction to Large Language Model, What is a Large Language Model?, Understanding Foundational Models, Different types of LLMs: Based on Response, Different types of LLMs: Based on Model Architecture, Quiz | The Current State of the Art in LLMs: The Current State of the Art in LLMs | Generative AI - Glossary: Generative AI- Glossary | Your Feedback Matters!: Your Feedback Matters!"
Building LLM Applications using Prompt Engineering - Free Course,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,5,(8),18 Lessons,Free,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png,"This course will provide you with a hands-on understanding of building LLM applications and mastering prompt engineering techniques. By the end of the course, you will be proficient in implementing and fine-tuning these techniques to enhance generative AI model performance. You'll learn to apply various prompting methods and build chatbots on enterprise data, equipping you with the skills to improve conversational AI systems in real-world projects.","How to build diffferent LLM AppIications?: Introduction to Building Different LLM applications, Prompt Engineering, Retrieval Augmented Generation, Finetuning LLMs, Training LLMs from Scratch, Quiz | Getting Started with Prompt Engineering: Course handouts, Introduction to Prompt Engineering, Set up your machine for Prompt Engineering, Prompt Engineering with ChatGPT API, Enabling Conversation with ChatGPT API, Quiz | Understanding Different Prompt Engineering Techniques: Introduction to Understanding Different Prompt Engineering Techniques, Few Shot Prompting, One Shot Prompting, Zero Shot Prompting, Quiz, Assignment"
MidJourney: From Inspiration to Implementation - Free Course,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,5,(2),5 Lessons,Free,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png,"This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.","MidJourney: MidJourney - Storm _ Story, MidJourney - Inspiration, MidJourney - How to use, MidJourney  Alternatives, Quiz"
Building Your first RAG System using LlamaIndex - Free Course,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,5,(9),12 Lessons,Free,https://import.cdn.thinkific.com/118220/HSr06pXxRTeF2Lpp6VQl_DALL%C2%B7E%202024-07-03%2011.42.42%20-%20A%20visually%20striking%20representation%20of%20a%20Retrieval-Augmented%20Generation%20(RAG)%20system%20using%20LlamaIndex.%20The%20image%20should%20have%20a%20dark%20background%20with%20int.png,"This course will guide youthrough building your first Retrieval-Augmented Generation (RAG) systemusing LlamaIndex.You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.","Introduction to RAG systems: Welcome to this course, Why RAG, What is RAG system, Overview of RAG Framework, Quiz, Course handouts | Getting Started with LlamaIndex: Introduction to LlamaIndex, Components of LlamaIndex, Reading Material: How to get your API Key, How to get Open AI Keys - 2 min - Website go through, Build Your First RAG system using LlamaIndex, Quiz"
Exploring Stability.AI - Free Course,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,4,(2),7 Lessons,Free,https://import.cdn.thinkific.com/118220/imiRzsUqTwuQxv4wfyUb_mastering-stable-diffusion-thumbnail_2.png,"This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.","Mastering stability.ai and its tools: Introduction to Stability, How to use Stability.AI tools, Review of Deployment Options for SD WebUI, Automatic1111 WebUI on RunPod GPU environment, SD WebUI Hands-On - Installation and Setup, SD WebUI Hands-On - Generation and Settings, Quiz"
N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
Introduction to AI & ML,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,5,(190),17 Lessons,Free,https://import.cdn.thinkific.com/118220/rlT6Q4O0SEafxqg4WmzL_Introduction_to_AI__ML_88145141-2c69-4ae8-9681-5d7201a38288%20(1).png,"Analytics Vidhya’s ‘Introduction to AI and ML’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.","Introduction to AI & ML: What is AI&ML?, Types of ML, When to Apply AI&ML, Recent AI Uprising, How the world is Changing?, Building Blocks of AI and ML, Knowing Each Other, AI&ML Blackbelt Plus Program (Sponsored) | Common Terminologies, Tools and Techniques: Common Terminologies, Common Data Capturing Types and Tools, Common Tools, Common Techniques, Common Techniques - Part1, Common Techniques - Part2 | Skills required to become a data science professional: Skills Required in Data Science, AI and ML Black Belt+, Where to Go from here!!"
Introduction to Python,https://courses.analyticsvidhya.com/courses/introduction-to-data-science,5,(1580),69 Lessons,Free,https://import.cdn.thinkific.com/118220/QAUsjF0qSxCI7fsIrzhn_Algorithm_in_Python_and_R_1b947457-056e-4bfb-9a6f-ce614ebfe3c4.png,Do you want to enter the field of Data Science? Are you intimidated by the coding you would need to learn? Are you looking to learn Python to switch to a data science career?,"Overview of the Course: Overview of the Course, AI&ML Blackbelt Plus Program (Sponsored) | Introduction to Python: A brief introduction to Python, Introduction to Python Test, Installing Python, Become a BlackBelt in Data Science | Understanding Operators: Theory of Operators, Exercise, Understanding Operators in Python, Operators Test | Variables and Data Types: Understanding variables and data types, Variable Test, Variables and Data Types in Python, Exercise | Conditional Statements: Understanding Conditional Statements, Exercise, Implementing Conditional Statements in Python, Conditional Statements test | Looping Constructs: Understanding Looping Constructs, Exercise, Implementing Looping Constructs in Python, Looping Constructs test | Functions: Understanding Functions, Implementing Functions in Python, Functions test | Data Structure: A brief introduction to data structure, Data Structure test | Lists: Understanding the concept of Lists, Lists test, Implementing Lists in Python, Exercise | Dictionaries: Understanding the concept of Dictionaries, Exercise, Implementing Dictionaries in Python, Dictionaries test | Understanding Standard Libraries in Python: Understanding the concept of Standard Libraries, Libraries test | Reading a CSV File in Python: Reading a CSV File in Python - Introduction to Pandas, Reading a CSV file in Python: Implementation, Reading a csv file in Python test | Data Frames and basic operations with Data Frames: Understanding dataframes and basic operations, DataFrames and basic operations test, Reading dataframes and conduct basic operations in Python, Reading dataframes and conduct basic operations in Python Test | Indexing a Data Frame: Indexing a Dataframe, Indexing DataFrames test, Exercise | Data Manipulation and Visualization: Sorting Dataframes, Merging Dataframes, Quiz: Sorting and Merging dataframes, Apply function, Aggregating data, Quiz: Apply function and Aggregating data, Basics of Matplotlib, Data Visualization using Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization using Seaborn, Quiz: Seaborn | Regular Expressions: Understanding Regular Expressions, Quiz: Regular Expressions, Regular Expressions in  Python, Quiz: Regular Expressions in Python | Cheatsheet for Python: Cheatsheet for Python | Evaluate: Instructions, Quiz, Python Coding Challenge | Feedback: Poll | Where to go from here?: Where to go from here?"
