Title,Link,Rating,Reviews,Lesson Count,Price,Image URL,Description,Curriculum
Machine Learning Certification Course for Beginners,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners,5,(533),261 Lessons,Free,https://import.cdn.thinkific.com/118220/NjFxaJVSFeAfMSHYoG9Q_Machine_Learning_for_Beginners_b896980a-b1d1-41bc-9bab-d8d3176daaf8.png,Machine Learning is the science of teaching machines how to learn by themselves. Machine Learning is reshaping and revolutionizing the world and disrupting industries and job functions globally.,"Overview of the Course: AI&ML Blackbelt Plus Program (Sponsored) | Introduction to Data Science and Machine Learning: Overview of Machine Learning / Data Science, Common Terminology used in Data Science, Applications of Data Science | Setting up your system: Installation steps for Windows, Installation steps for Linux, Installation steps for Mac | Introduction to Python: Introduction to Python, Introduction to Jupyter Notebook, Download Python Module Handouts | Variables and Data Types: Introduction to Variables, Implementing Variables in Python | Operators: Introduction to Operators, Implementing Operators in Python, Quiz: Operators | Conditional Statements: Introduction to Conditional Statements, Implementing Conditional Statements in Python, Quiz: Conditional Statements | Looping Constructs: Introduction to Looping Constructs, Implementing Loops in Python, Quiz: Loops in Python, Break, Continue and Pass Statements, Quiz: Break, Continue and Pass Statement | Data Structures: Introduction to Data Structures, List and Tuple, Implementing List in Pyhton, Quiz: Lists, List - Project in Python, Implementing Tuple in Python, Quiz: Tuple, Introduction to Sets, Implementing Sets in Python, Quiz: Sets, Introduction to Dictionary, Implementing Dictionary in Python, Quiz: Dictionary | String Manipulation: Introduction to String Manipulation, Quiz: String Manipulation | Functions: Introduction to Functions, Implementing Functions in Python, Quiz: Functions in Python, Lambda Expression, Quiz: Lambda Expressions, Recursion, Implementing Recursion in Python, Quiz: Recursion | Modules, Packages and Standard Libraries: Introduction to Modules, Modules: Intuition, Introduction to Packages, Standard Libraries in Python, User Defined Libraries in Python, Quiz:  Modules, Packages and Standard Libraries | Handling Text Files in Python: Handling Text Files in Python, Quiz: Handling Text Files | Introduction to Python Libraries for Data Science: Important Libraries for Data Science, Quiz: Important Libraries for Data Science | Python Libraries for Data Science: Basics of Numpy in Python, Basics of Scipy in Python, Quiz: Numpy and Scipy, Basics of Pandas in Python, Quiz: Pandas, Basics of Matplotlib in Python, Basics of Scikit-Learn in Python, Basics of Statsmodels in Python | Reading Data Files in Python: Reading Data in Python, Reading CSV files in Python, Reading Big CSV Files in Python, Quiz: Reading CSV files in Python, Reading Excel & Spreadsheet files in Python, Quiz: Reading Excel & Spreadsheet files in Python, Reading JSON files in Python, Quiz: Reading JSON files in Python | Preprocessing, Subsetting and Modifying Pandas Dataframes: Subsetting and Modifying Data in Python, Overview of Subsetting in Pandas I, Overview of Subsetting in Pandas II, Subsetting based on Position, Subsetting based on Label, Subsetting based on Value, Quiz: Subsetting Dataframes, Modifying data in Pandas, Quiz: Modifying Dataframes | Sorting and Aggregating Data in Pandas: Preprocessing, Sorting and Aggregating Data, Sorting the Dataframe, Quiz:  Sorting Dataframes, Concatenating Dataframes in Pandas, Concept of SQL-Like Joins in Pandas, Implementing SQL-Like Joins in Pandas, Quiz: Joins in Pandas, Aggregating and Summarizing Dataframes, Preprocessing Timeseries Data, Quiz: Preprocessing Timeseries Data | Visualizing Patterns and Trends in Data: Visualizing Trends & Pattern in Data, Basics of Matplotlib, Data Visualization with Matplotlib, Quiz: Matplotlib, Basics of Seaborn, Data Visualization with Seaborn, Quiz: Seaborn | Machine Learning Lifecycle: 6 Steps of Machine Learning Lifecycle, Introduction to Predictive Modeling | Problem statement and Hypothesis Generation: Defining the Problem statement, Introduction to Hypothesis Generation, Performing Hypothesis generation, Quiz - Performing Hypothesis generation, List of hypothesis, Data Collection/Extraction, Quiz - Data Collection/Extraction | Importance of Stats and EDA: Introduction to Exploratory Data Analysis & Data Insights, Quiz -  Introduction to Exploratory Data Analysis & Data Insights, Role of Statistics in EDA, Descriptive Statistics, Inferential Statistics, Quiz - Descriptive and Inferential Statistics | Build Your First Predictive Model: Quiz: Build a Benchmark Model - Regression, Benchmark Model: Regression Implementation, Quiz: Benchmark Model - Regression Implementation, Build a Benchmark Model: Classification, Quiz: Build a Benchmark Model - Classification, Benchmark Model: Classification Implementation, Quiz: Benchmark - Classification Implementation | Evaluation Metrics: Introduction to Evaluation Metrics, Quiz: Introduction to Evaluation Metrics, Confusion Matrix, Quiz: Confusion Matrix, Accuracy, Quiz: Accuracy, Alternatives of Accuracy, Quiz: Alternatives of Accuracy, Precision and Recall, Quiz: Precision and Recall, Thresholding, Quiz: Thresholding, AUC-ROC, Quiz: AUC-ROC, Log loss, Quiz: Log loss, Evaluation Metrics for Regression, Quiz: Evaluation Metrics for Regression, R2 and Adjusted R2, Quiz: R2 and Adjusted R2 | Preprocessing Data: Dealing with Missing Values in the Data, Quiz: Dealing with missing values in the data, Replacing Missing Values, Quiz: Replacing Missing values, Imputing Missing Values in data, Quiz: Imputing Missing values in data, Working with Categorical Variables, Quiz: Working with categorical data, Working with Outliers, Quiz: Working with outliers, Preprocessing Data for Model Building | Build Your First ML Model: k-NN: Building a kNN model, Quiz: Building a kNN model, Determining right value of k, Quiz: Determining right value of k, How to calculate the distance, Quiz: How to calculate the distance, Issue with distance based algorithms, Quiz: Issue with distance based algorithms, Introduction to sklearn, Implementing k-Nearest Neighbours algorithm, Quiz: Implementing k-Nearest Neighbours algorithm | Selecting the Right Model: Introduction to Overfitting and Underfitting Models, Quiz: Introduction to Overfitting and Underfitting Models, Visualizing overfitting and underfitting using knn, Quiz: Visualizing overfitting and underfitting using knn, Selecting the Right Model, What is Validation?, Quiz: What is Validation, Understanding Hold-Out Validation, Quiz: Understanding Hold-Out Validation, Implementing Hold-Out Validation, Quiz: Implementing Hold-Out Validation, Understanding k-fold Cross Validation, Implementing k-fold Cross Validation, Quiz: Understanding k-fold Cross Validation, Quiz: Implementing k-fold Cross Validation, Bias Variance Tradeoff, Quiz: Bias Variance Tradeoff | Linear Models: Introduction to Linear Models, Quiz: Introduction to linear model, Understanding Cost function, Quiz: Understanding Cost function, Understanding Gradient descent (Intuition), Maths behind gradient descent, Convexity of cost function, Quiz: Convexity of Cost function, Quiz: Gradient Descent, Assumptions of Linear Regression, Quiz: Assumptions of linear model, Implementing Linear Regression, Generalized Linear Models, Quiz: Generalized Linear Models, Introduction to Logistic Regression, Quiz: Introduction to logistic regression, Quiz: Logistic Regression, Odds Ratio, Implementing Logistic Regression, Multiclass using Logistic Regression, Quiz: Multi-Class Logistic Regression, Challenges with Linear Regression, Quiz: Challenges with Linear regression, Introduction to Regularisation, Quiz: Introduction to Regularization, Implementing Regularisation, Coefficient estimate for ridge and lasso (Optional) | Project: Customer Churn Prediction: Predicting whether a customer will churn or not | Decision Tree: Introduction to Decision Trees, Quiz: Introduction to Decision Trees, Purity in Decision Trees, Quiz: Purity in Decision Trees, Terminologies Related to Decision Trees, Quiz: Terminologies Related to Decision Trees, How to Select the Best Split Point in Decision Trees, Quiz: How to Select the Best Split Point in Decision Trees, Chi-Square, Quiz: Chi-Square, Information Gain, Quiz: Information Gain, Reduction in Variance, Quiz: Reduction in Variance, Optimizing Performance of Decision Trees, Quiz: Optimizing Performance of Decision Trees, Decision Tree Implementation | Feature Engineering: Introduction to Feature Engineering, Quiz: Introduction to feature engineering, Exercise on Feature Engineering, Overview of the module, Feature Transformation, Quiz: Feature Transformation, Feature Scaling, Quiz: Feature Scaling, Feature Encoding, Quiz: Feature Encoding, Combining Sparse classes, Quiz: Combining Sparse classes, Feature Generation: Binning, Quiz: Feature Generation- Binning, Feature Interaction, Quiz: Feature Interaction, Generating Features: Missing Values, Frequency Encoding, Quiz: Frequency Encoding, Feature Engineering: Date Time Features, Implementing DateTime Features, Quiz: Implementing DateTime Features, Automated Feature Engineering : Feature Tools, Implementing Feature tools, Quiz: Implementing Feature Tools | Project: NYC Taxi Trip Duration prediction: Exploring the NYC dataset, Predicting the NYC taxi trip duration, Predicting the NYC taxi trip duration"
The Working of Neural Networks - Free Course,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,0,N/A,11 Lessons,Free,https://import.cdn.thinkific.com/118220/cu3qVXYTR7WEDj7eYQXS_unnamed.jpg,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.","Understanding the working of Neural Networks: How are Neural Networks trained - Forward Propagation, Understanding Loss Functions + Hands on, Reading: Creating a Custom Loss Function (Optional), Optimization Techniques - Gradient Descent, What is Back Propagation?, Types of Gradient Descent, Common Optimization Techniques - Part 1, Common Optimization Techniques - Part 2, Building a Deep Neural Network (Hands-on Regression Model), Building a Deep Neural Network (Hands-on Classification Model), Quiz"
Understanding Linear Regression - Free Course,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,5,(3),10 Lessons,Free,https://import.cdn.thinkific.com/118220/vK6lGCCqSsWtESgG69K1_Foundational%20ML%20Algorithms.png,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression.","Linear Regression: Introduction to the Problem Statement, Resources for this Course, Introduction to Linear Regression, Significance of Slope and Intercept in the linear regression, How Model Decides The Best-Fit Line, Let’s Build a Simple Linear Regression Model, Model Understanding Using Descriptive Approach, Model Understanding Using Descriptive Approach - II, Model Building Using Predictive Approach, Quiz: Linear regression"
Building a Text Classification Model with Natural Language Processing - Free Course,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,5,(1),16 Lessons,Free,https://import.cdn.thinkific.com/118220/YfA6OJ6ATeiwbbvvzb5h_NLP%20Banner.png,"Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.","Introduction to NLP: What is NLP, Common tasks in a NLP Project, NLP Libraries, Resources for the Course, Methods of Text Preprocessing - Part 1, Methods of Text Preprocessing - Part 2, Methods of Text Preprocessing - Part 3, Quiz | Building a basic classification model: Introduction to dataset and problem statement, Creating a Basic Review Classification Model, Understanding TF-IDF and its implementations, Understanding N-grams, Advanced Preprocessing Techniques, Building an basic ANN model, Limitations of ANN, Quiz"
The A to Z of Unsupervised ML - Free Course,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,0,N/A,13 Lessons,Free,https://import.cdn.thinkific.com/118220/a8FaIfN8SyfgOEhgzcHx_Getting_Started_with_Neural_Networks_307d8d11-d90e-45eb-8885-7d8f59fadc48.png,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.","Understanding Unsupervised Machine Learning: Resources to be used in this course., Setting the Context, Choosing Clustering Algorithms, Solving our Problem using k-means - Part 1, Solving our Problem using k-means - Part 2, Finding optimal K value, Analysis and Insights Based on the Plots, Introduction to Hierarchical Clustering Analysis (HCA), Solving our Problem using Hierarchical Clustering, Introduction to DBSCAN Clustering, Solving our Problem using DBSCAN, Reading: Applications of Clustering in the Real World, Project"
Bagging and Boosting ML Algorithms - Free Course,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,0,N/A,16 Lessons,Free,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg,"This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.","Bagging: Resources to be used in this course, Problem Statement, Understanding Ensemble Learning, Introducing Bagging Algorithms, Hands-on to Bagging Meta Estimator, Introduction to Random Forest, Understanding Out-Of-Bag Score, Random Forest VS Classical Bagging VS Decision Tree, Project | Boosting: Introduction to Boosting, AdaBoost Step-by-Step Explanation, Hands-on - AdaBoost, Gradient Boosting Machines (GBM), Hands-on Gradient Boost, Other Algo (XGBoost, LightBoost. CatBoost), Project: Anova Insurance"
Data Preprocessing on a Real-World Problem Statement - Free Course,https://courses.analyticsvidhya.com/courses/data-preprocessing,5,(3),13 Lessons,Free,https://import.cdn.thinkific.com/118220/2BmYWOASeye7uIgp3mHr_Building%20your%20first%20ML%20model.png,"This course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment.","Preparing the Dataset for Machine Learning Model: Resources to be used in this course, Introduction to Problem Statement, Reading Material - Understanding the Data, ML-workflow, Tasks to be Performed, Combining Product Attribute Data with POS Data, Combining all the tables in the Dataframe, Understanding the Combined Data, Treating Missing Values - Part 1, Treating Missing Values Part - 2, Outlier Detection and Treatment, Preparing the Dataset for Supervised and Unsupervised Models, Generative AI for Data Analysis"
Introduction to Business Analytics,https://courses.analyticsvidhya.com/courses/introduction-to-analytics,5,(424),32 Lessons,Free,https://import.cdn.thinkific.com/118220/uQspaf6ESc6KPX6jkVrx_Introduction_to_Business_Analytics_fcacd85c-25ff-44bf-a74d-ee3aa66e51d4.png,Getting Started with Business Analytics,"What is Business Analytics?: What is Business Analytics?, Quiz: What is Business Analytics, You just joined an exicting startup!, Quiz - Map the Job families, Data Scientist vs. Data Engineer vs. Business Analyst, Quiz - Map the responsibilities, Sample problems and projects - Business Analytics vs. Data Science, Quiz: Sample problems and Projects - Business Analysts vs. Data Scientits, A few more things - Business Analytics vs. Data Science, Career in Business Analytics, Knowing Each other, AI&ML Blackbelt Plus Program (Sponsored) | Spectrum of Business Analytics: Terms related to Business Analytics, Management Information Systems (MIS), Detective Analysis, Business Intelligence, Predictive Modeling, Artificial Intelligence and Machine Learning, What kind of problems do Business Analysts work on? | Skills Required for Business Analytics and Roadmap of Business Analytics Program: Skills Required in Business Analytics Roles, Download the Roadmap for Certified Business Analytics Program (CBAP), Bonus Section - Logistics of Certified Business Analytics Program from Analytics Vidhya | Case study: Ezine Publishing: Overview - Case study - Ezine Publishing, Understanding Business, Quiz: Identify Focus Categories, Quiz: Getting Granular with traffic data, Quiz - Identify effective channel, Quiz - Maximize Revenue, Quiz - Target Customers, Quiz: Traffic Distribution, Quiz - Advertisements, Where to go from here?"
Microsoft Excel: Formulas & Functions,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions,5,(390),33 Lessons,Free,https://import.cdn.thinkific.com/118220/Fempx8fdSiumAPGK20Xp_thumb%20%282%29.jpg,"Microsoft Excel is the gold standard in data analysis tools. There’s no question about it - industry experts, professionals and evetrans still lean heavily on Excel’s prowess and Swiss Army Knife nature to slice and dice their data.","Introduction: Welcome to the Course!, Instructor Introduction, AI&ML Blackbelt Plus Program (Sponsored) | Excel Formula and Referencing: Getting Started with Excel Formulas, Referencing, Exercise, Paste Special & Format Painter, Exercise | DateTime and Text Functions: DateTime Function, Exercise, Left,Right,Mid,Len,Concatenate, Find & Search, Exercise, Replace & Substitute, Text and Value | Mathematical Functions: Sum, Product, Mod, Sqrt, Fact, Round, RoundUp, Rounddown, SumIFS, Exercise | Financial Function: Present Value and Future Value, NPV and IRR, Financial Functions in Excel, Exercise | LookUp Function: Vlookup and Hlookup, Match, Index, Exercise | Logical and Error Function: AND, OR, NOT, ISERROR, ISNUMBER, ISBLANK, ISTEST, IF, IFERROR, Exercise | Statistical Function: Count, Counta, Countblank, Countifs, Mean, Median, Mode, Std, Rank, Quartiles, Corr, Exercise | What's Next?: CBAP: Certified Business Analytics Program"
Tableau for Beginners,https://courses.analyticsvidhya.com/courses/tableau-for-beginners,5,(240),17 Lessons,Free,https://import.cdn.thinkific.com/118220/UtXF4erQmuUVLtZz8TMA_tablu_thumb.jpg,"Tableau is the gold standard in business intelligence, analytics and data visualization tools. Tableau Desktop (and now Tableau Public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.","Introduction: Welcome to the Course, AI&ML Blackbelt Plus Program (Sponsored) | Concept of Visualization: What is Data Visualization and Why Should we Use it, Hans Rosling - 200 Countries 200 Years 4 Minutes | Understanding the Length and Breadth of Tableau: Navigating the Tableau Interface Part 1, Navigating the Tableau Interface Part 2 | Getting Started with Tableau: Connect to the Data, Data Visualizations | Different Types of Charts in Tableau: Net Statistics, Net Statistics Part 2, Line Chart, Pie Chart, Map Chart, Scatter Plots | BONUS: Other Functionalities in Tableau: Filters, Trend Line | What's Next?: What's Next?"
Loan Prediction Practice Problem (Using Python),https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,5,(358),16 Lessons,Free,https://import.cdn.thinkific.com/118220/pcauZ3ZqSWqrYXlYTd0w_Loan_Prediction_Practice_Problem_8dbf2aea-f3c8-42d4-bd27-87e738de5aac.png,This course is designed for people who want to solve binary classification problems. Classification is a skill every Data Scientist should be well versed in.,"Loan Prediction : Practice Problem: Introduction to the Course, Table of Contents, Problem Statement, Hypothesis Generation, Exercise 2  | Discussion, Getting the system ready and loading the data, Understanding the Data, Univariate Analysis, Bivariate Analysis, Missing Value and Outlier Treatment, Evaluation Metrics for Classification Problems, Model Building : Part I, Logistic Regression using stratified k-folds cross validation, Feature Engineering, Model Building : Part II, AI&ML Blackbelt Plus Program (Sponsored)"
Twitter Sentiment Analysis,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,5,(127),18 Lessons,Free,https://import.cdn.thinkific.com/118220/nwZ67Ta2R0SO6uI4mWBe_Twitter%20Sentiment%20Analysis.jpg,,"Twitter Sentiment Analysis (Using Python): Overview of the Course, Understand the Problem Statement, Table of Contents, Loading Libraries and Data, Data Inspection, Data Cleaning, Story Generation and Visualization from Tweets, Bag-of-Words Features, TF-IDF Features, Word2Vec Features, Modeling, Logistic Regression, Support Vector Machine (SVM), RandomForest, XGBoost, FineTuning XGBoost + Word2Vec, Summary, AI&ML Blackbelt Plus Program (Sponsored)"
Introduction to Web Scraping using Python,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,5,(96),13 Lessons,Free,https://import.cdn.thinkific.com/118220/AEt5RjqFTCeJJ8oIBn7s_thumb.jpg,The need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.,"Introduction to Web Scraping: What is Web Scraping?, Caution, Popular Libraries for Web Scraping, Components of Web Scraping, AI&ML Blackbelt Plus Program (Sponsored) | Web Scraping: Procedure: Problem Setup, Step 1: Crawl, Step 2: Parse and Transform, Step 3: Store the Data | Scraping URLs and Email IDs from a Web Page: Single Webpage Scraping, Multiple Webpage Scraping(BeautifulSoup and Regex) | Scrape Images in Python: Scrape Images in Python | Scrape Data on Page Load: Scarpe Data on Page Load"
Big Mart Sales Prediction Using R,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,5,(80),19 Lessons,Free,https://import.cdn.thinkific.com/118220/t1hnCAcdT22pr7EEWQpW_Sales%20Prediction_thumb.jpg,"Sales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company.","Big Mart Sales: Overview of the Course, Table of contents, Problem Statement, Hypothesis Generation, Loading Packages and Data, Understanding the Data, Univariate Analysis, Bivariate Analysis, Missing Value Treatment, Feature Engineering, Encoding Categorical Variables, PreProcessing Data, Model Building, Linear Regression, Regularized Linear Regression, Random Forest, XGBoost, Summary, AI&ML Blackbelt Plus Program (Sponsored)"
Time Series Forecasting using Python,https://courses.analyticsvidhya.com/courses/creating-time-series-forecast-using-python,5,(209),22 Lessons,Free,https://import.cdn.thinkific.com/118220/jojmXPCwS6el6FYGilVC_time_seriesthumb.jpg,"‘Time’ is the most important factor which ensures success in a business. It’s difficult to keep up with the pace of time.  But, technology has developed some powerful methods using which we can ‘see things’ ahead of time!","Introduction to Time Series: Introduction to the Course, Introduction to Time Series, Components of a Time Series, AI&ML Blackbelt Plus Program (Sponsored) | Understanding Problem Statements and Data Sets: Problem Statement, Table of Contents, Hypothesis Generation, Getting the system ready and loading data, Dataset Structure and Content | Exploration and Preprocessing: Feature Extraction, Exploratory Analysis, Exercise 1 | Modelling Techniques and Evaluation: Splitting the data into training and validation part, Modeling Techniques, Holt's Linear trend model on daily time series, Holt Winter's model on daily time series, Introduction to ARIMA model, Parameter tuning for ARIMA model, SARIMAX model on daily time series, Exercise 2, Important Links, Your Feedback"
